timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1513268572586,12,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-7",text,true,,657,134,8,8,12,0,0
1513268572574,20,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-1",text,true,,657,134,9,9,20,0,0
1513268572574,20,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-6",text,true,,657,134,9,9,20,0,0
1513268572574,20,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-3",text,true,,657,134,9,9,20,0,0
1513268572574,21,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-2",text,true,,657,134,9,9,21,0,0
1513268572591,4,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-9",text,true,,657,134,9,9,4,0,0
1513268572580,16,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-7",text,true,,657,134,9,9,16,0,0
1513268572594,2,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-6",text,true,,657,134,9,9,2,0,0
1513268572579,17,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-8",text,true,,657,134,9,9,17,0,0
1513268572579,20,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-4",text,true,,657,134,9,9,20,0,0
1513268572579,20,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-5",text,true,,657,134,9,9,20,0,0
1513268572596,3,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-8",text,true,,657,134,9,9,3,0,0
1513268572596,4,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-7",text,true,,657,134,9,9,4,0,0
1513268572595,12,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-9",text,true,,657,134,9,9,12,0,0
1513268572596,11,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-6",text,true,,657,134,9,9,11,0,0
1513268572595,12,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-2",text,true,,657,134,9,9,12,0,0
1513268572594,13,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-3",text,true,,657,134,9,9,13,0,0
1513268572607,5,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-6",text,true,,657,134,9,9,5,0,0
1513268572607,5,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-2",text,true,,657,134,9,9,5,0,0
1513268572607,5,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-9",text,true,,657,134,9,9,5,0,0
1513268572594,19,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-1",text,true,,657,134,9,9,19,0,0
1513268572608,12,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-3",text,true,,657,134,10,10,12,0,0
1513268572600,20,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-7",text,true,,657,134,10,10,20,0,0
1513268572599,21,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-4",text,true,,657,134,10,10,21,0,0
1513268572599,21,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-8",text,true,,657,134,10,10,21,0,0
1513268572599,26,Alle Abwesenheiten einer Organisation,200,OK,"Thread-Gruppe ""abwesenheit"" 1-5",text,true,,657,134,10,10,26,0,0
